Strefa;Rodzaj;Nazwa;Obrazek;Opis;Ilość;IconLocation
LasRównikowy;Z;Tapir;Tapirus-terrestris.jpg;Monotypowa rodzina ssaków kopytnych z rzędu nieparzystokopytnych (Perissodactyla).;3;4
LasRównikowy;Z;Jaguar;1200px-Junior-Jaguar-Belize-Zoo.jpg;Gatunek ssaka z rodziny kotowatych, zaliczany do wielkich kotów i jedyny przedstawiciel rodzaju Pantheraspotykany w Amerykach. Trzeci co do wielkości przedstawiciel swej rodziny po tygrysie i lwie, największy zaś na półkuli zachodniej.;3;3
LasRównikowy;Z;Leniwiec;leniwiec.jpg;Monotypowa rodzina lądowych, nadrzewnych ssaków z rzędu włochaczy <i>(Pilosa)</i>. Poruszają się powolnymi ruchami z ciałem podwieszonym pod gałęziami. Rzadko schodzą z drzew. Na ziemi niezgrabnie pełzają. W zapisie kopalnym znane od plejstocenu.;3;1
LasRównikowy;R;Storczyk;;Rodzaj bylin należących do rodziny storczykowatych <i>(Orchidaceae)</i>. W zależności od ujęcia systematycznego klasyfikowanych jest do tego rodzaju od 17 do 33 gatunków, przy czym większa liczba podawana jest w starszych klasyfikacjach.;3;
LasRównikowy;R;Dzbanecznik;;Rodzaj roślin owadożernych z rodziny dzbanecznikowatych. Występują jako pnące się półkrzewy.;3;
LasRównikowy;R;Liany;;Pnącza o zdrewniałych łodygach. Występują w lasach strefy międzyzwrotnikowej, rzadziej w strefie umiarkowanej – spośród znanych gatunków lian około 90% rośnie w lasach równikowych.;3;
LasRównikowy;S;Las Tropkalny;LHR4bb617_prales_indonesie.jpg;Wilgotny las równikowy, las strefy równikowej, puszcza tropikalna, las deszczowy, las tropikalny, las higromegatermiczny (zwany także dżunglą choć termin ten ma w niektórych ujęciach też węższe znaczenie) – wiecznie zielona formacja leśna strefy międzyzwrotnikowej.;9;2
LasLiściasty;Z;Wiewórka;wiewiorka.jpg;Gatunek gryzonia z rodziny wiewiórkowatych <i>(Sciuridae)</i>.;3;1
LasLiściasty;Z;Ryś;ryś.jpg;Rodzaj ssaka drapieżnego z podrodziny kotów <i>(Felinae)</i> w rodzinie kotowatych <i>(Felidae)</i>. Dawniej zwany ostrowidzem.;3;4
LasLiściasty;Z;Borsuk;borsuk.jpg;Borsuk, jaźwiec, (Meles meles) – gatunek drapieżnego ssaka z rodziny łasicowatych.;3;4
LasLiściasty;R;Dąb;;Rodzaj drzew, rzadziej wysokich krzewów, zaliczony do rodziny bukowatych <i>(Fagaceae Dumort.)</i>. Należy do niego ok. 200 gatunków występujących prawie wyłącznie w strefie umiarkowanej półkuli północnej oraz w wyższych partiach gór strefy tropikalnej.;3;
LasLiściasty;R;Klon;;Gatunek rośliny z rodziny mydleńcowatych <i>(Sapindaceae Juss.)</i>. Występuje naturalnie w Europie Środkowej i Wschodniej, na Bałkanach oraz Kaukazie.;3;
LasLiściasty;R;Wierzba;;Rodzaj drzew, krzewów lub płożących krzewinek z rodziny wierzbowatych <i>(Salicaceae Mirb.)</i>. Występuje około 400 gatunków tego rodzaju.;3;
LasLiściasty;S;Las Liściasy;700_FO31250020_f191c23ba05f17b423346f1e71383bf4.jpg;Ekosystem leśny z dominacją w drzewostanie drzew liściastych należących do roślin okrytonasiennych, bez udziału lub tylko z niewielką domieszką gatunków drzew iglastych.;9;2
